Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
Organic Ladies 100% Cotton Vneck (Light Grey) Fashionable Tees t shirt tshirt shirts tshirts v neck blouse tops top for women womens,149.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
LVLIN Korean Style Lettuce Embroidery Fashion Blouse For Women,88.11,「KAEVE」Korean fashion flat sandals shoes for women,75.0,0.4714045207910316,13.11
Crown Ladies Hertee Round Neck Tshirt Collection Fashionable Tees t shirt tshirt shirts tshirts round neck blouse tops top for women womens,89.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
korean terno top and pants .. fashion terno top and pants ..,199.0,fashion jogger pants unisex korean jogger pants,68.0,0.4264014327112209,131.0
Korean Style Loose Leopard Print Short-sleeved T-shirt Summer Casual Wear for Female Students,399.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Snake Skin Spaghetti Bodycon Dress,260.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
ZANZEA Korean Style Womens Casual Loose Short Sleeve Dress Pleated Square Neck Midi Dress,666.0,korean floral dress fashion 3/4 sleeve maxi dress,129.0,0.49999999999999994,537.0
Huga Activewear Mens Basic Plain Round Neck Cotton White TShirt Shirt T Shirt Tee Tees Top Tops for Men,149.0,Fashion T Shirt for Women T-Shirt Plus Size Shirt Long T-Shirt Oversize tshirt Casual Tops minidess,63.0,0.47336463120312877,86.0
Organic Mens Tipped Pique Polo Shirt (Black) Tees t shirt tshirt shirts tshirts tee tops top for men,249.0,Fashion T Shirt for Women T-Shirt Plus Size Shirt Long T-Shirt Oversize tshirt Casual Tops minidess,63.0,0.4856618642571826,186.0
BLACK SHEEP NEOPRENE SKATER SKIRT (PINK),200.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Hot Jc New Lingge Fashion Leisure Embroidery Bag,194.0,Jc New Lingge Fashion Leisure Embroidery Bag,66.0,0.9354143466934851,128.0
2021 Korean New Style Sunglasses Flat Frame Tinted Color For Women Men Fashion Eyeglasses,130.0,2021 Korean New Style Sunglasses Flat Frame Tinted Color For Women Men Fashion Eyeglasses,25.0,0.9999999999999999,105.0
Pearl Hair Clips for Women Hair Clip Fashion Hairpin Jewelry,15.0,Fashion Geometric Hair Clip Clamps for Women Hair claw Clips Hair Accessories Korea Elegant Large Big Hairpin Headdress,15.0,0.7071067811865477,0.0
✆ 28 Colors Scrunchies Chiffon Large Intestine Headdress hair tie scrunchie ponytail Ins Women's Sweet Scrunchie Hair Tie Sunton Korea 1PC Satin Daisy Hair Tie Elastic Scrunchies Ponytail Holder Hair Rope hair tie fashion hair accessories ponytail holder,124.0,28 Colors Scrunchies Chiffon Large Intestine Headdress hair tie scrunchie ponytail Ins Women's Sweet Scrunchie Hair Tie Sunton Korea 1PC Satin Daisy Hair Tie Elastic Scrunchies Ponytail Holder Hair Rope hair tie fashion hair accessories ponytail holder,5.0,0.9999999999999996,119.0
Homer Charm Korean Finger Heart T-Shirt for Women,59.0,Fashion T Shirt for Women T-Shirt Plus Size Shirt Long T-Shirt Oversize tshirt Casual Tops minidess,63.0,0.408248290463863,-4.0
comfortable❡ WILD FASHION Munafie Slimming Panty Cycling Shorts Seamless Yoga Sports Tights High Waist Shorts,106.0,WILD FASHION Munafie Slimming Panty Cycling Shorts Seamless Yoga Sports Tights High Waist Shorts,32.0,0.9701425001453321,74.0
☸㍿﹍ Belt G Korean Fashion Women Lady's Belts Leather Metal Buckle Waist Belt #GG01,160.0,Belt G Korean Fashion Women Lady's Belts Leather Metal Buckle Waist Belt #GG01,29.0,0.9999999999999999,131.0
neyiewywnrshop YZ Korean Fashion Shoulder Simple Elegant Cute Leather Ladies Women bag Casual Handbags Yazi 2821,209.0,YZ Korean Fashion Shoulder Simple Elegant Cute Leather Ladies Women bag Casual Handbags Yazi 2821,39.0,0.9682458365518538,170.0
New Fashion Cotton Stripe Shorts For Men （26-34）,184.0,New Fashion Cotton Stripe Shorts For Men （26-34),67.0,1.0000000000000002,117.0
Kids Everyday Leggings Sizes for Infant-10 Years Old,20.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
KREME Jhulie Kids Short (2 to 10yrs old) Assorted Prints #09kids,34.65,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
BUNDLE OF 3 TASLAN Ruffles Short for Women New Design FREESIZE ONLY,132.0,Fashion Taslan Short For Men,57.0,0.40451991747794525,75.0
PatPat Long Sleeve Cool Cartoon Eye Print Solid Dino Decor Pullover for Toddler & Kid-Z,386.1,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
HNTOB girl legging pajama bottom pants baby leggings cotton kids bottom sold by each RANOMLY GIVEN anti-Mosquitoes no choosing of colors designs premium cloth,35.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Korean fashion women summer cartoon short sleeves T-shirts oversized shirt 3085,99.0,Korean fashion women summer cartoon short sleeves T-shirts oversized shirt,79.0,0.9534625892455926,20.0
