Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
✴卍❍ WISDOM ZUIXUA NEON COLOR PEN 12# School supplies,155.0,WISDOM ZUIXUA NEON COLOR PEN 12# School supplies,27.0,0.9999999999999999,128.0
Fashion Metal Hand Feeling Ballpoint Pen 0.5mm Black Refill Stationery School Office Supply,9.0,Fashion Metal Hand Feeling Ballpoint Pen 0.5mm Black Refill Stationery School Office Supply,8.0,0.9999999999999998,1.0
"
hot LSY 010 sticky notes school supplies",158.0,LSY 010 sticky notes school supplies,28.0,0.9258200997725515,130.0
hot WISDOM 100sheets sticky note（square） school supplies,125.0,WISDOM 100sheets sticky note（square） school supplies,7.0,0.9354143466934851,118.0
bnesos Stationary School Supplies Cute Art Knife Mini Cutter Knife 2Design,13.86,bnesos Stationary School Supplies Cute Art Knife Mini Cutter Knife,15.0,0.960768922830523,-1.1400000000000006
"
bnesos Stationary School Supplies M&G Office G Gel Pen 8Colors 0.5mm 50Pcs/Box",543.51,bnesos Stationary School Supplies M&G Office G Gel Pen 8Colors 0.5mm,12.0,0.9045340337332909,531.51
♚ WISDOM 901 mini correction tape School supplies,129.0,WISDOM 901 mini correction tape School supplies,9.0,0.9999999999999997,120.0
Simple Pencil Shape Erasers Creativity Eraser Pencil School Supplies Painting Office Supplies,194.0,Simple Pencil Shape Erasers Creativity Eraser Pencil School Supplies Painting Office Supplies,20.0,1.0,174.0
hot WISDOM ST-891-6 HIGHLIGHTER PENS school supplies,170.0,WISDOM ST-891-6 HIGHLIGHTER PENS school supplies,52.0,0.9354143466934851,118.0
℡ WISDOM mongol pencil（12pcs ）school supplies,215.0,WISDOM mongol pencil（12pcs ）school supplies,75.0,1.0000000000000002,140.0
bnesos B&e School Office Supplies Twin Permanent Marker Pen Pentel Pen 12 Colors #8913 12pcs,118.8,bnesos Stationary School Supplies B&e Twin Permanent Marker Pen Pentel Pen 12 Colors,12.0,0.8685990362153791,106.8
hot sale NM Polka dots design A4 Size Expanding Envelope File Folder Organizer Office School Supplies,104.0,NM Polka dots design A4 Size Expanding Envelope File Folder Organizer Office School Supplies,15.0,0.9354143466934851,89.0
【good selling】 buy 1 take 1 white glue school supplies,175.0,buy 1 take 1 white glue school supplies,10.0,0.8660254037844387,165.0
bnesos Stationary School Supplies Metallic Color Pen Metallic Marker Pen Metallic Pen (1Pcs),19.8,bnesos Stationary School Supplies B&e Twin Permanent Marker Pen Pentel Pen 12 Colors,12.0,0.5879747322073337,7.800000000000001
"
COD WISDOM JOY DOUBLE SIDED TAPE SCHOOL SUPPLIES",264.0,WISDOM JOY DOUBLE SIDED TAPE SCHOOL SUPPLIES,12.0,0.9354143466934851,252.0
Candy Color Calculator Simple Portable Student Office Supplies Stationery Dual Power Supply Calculat,220.0,Candy Color Calculator Simple Portable Student Office Supplies Stationery Dual Power Supply Calculat,109.0,0.9999999999999998,111.0
"[HotSell]▽ 3grids desk organizer/pen holder/storage/case,stainless steel,office/school supplies,black,BINLU",250.0,"3grids desk organizer/pen holder/storage/case,stainless steel,office/school supplies,black,BINLU",89.0,0.966091783079296,161.0
SPOT HOT SALE】 New 2021 bnesos Stationary School Supplies Hard Copy Bond Paper Copier Paper Sub20 70gsm Copy Paper,338.0,bnesos Stationary School Supplies Hard Copy Bond Paper Copier Paper Sub20 70gsm Copy Paper,155.0,0.90267093384844,183.0
WISDOM ST-893-6A HIGHLIGHTER PENS school supplies,190.0,WISDOM ST-893-6A HIGHLIGHTER PENS school supplies,69.0,0.9999999999999999,121.0
LSY (2020-2021) 169 Sticky Note School Supplies,104.0,LSY (2020-2021) 169 Sticky Note School Supplies,38.0,0.9999999999999999,66.0
℡ WISDOM GLUE STICK school supplies,92.0,WISDOM GLUE STICK school supplies,7.0,0.9999999999999999,85.0
hot Professional drawing pencil 2H-14B Sketch pencil Charcoal Pencils - Sketching school supplies pen,238.0,Professional drawing pencil 2H-14B Sketch pencil Charcoal Pencils white brown Writing & Sketching school supplies pen 1 pc,8.0,0.8603090020146062,230.0
✘✔ LSY G-2501 12 in 1 Gel Ink Pen School Supplies,214.0,LSY G-2501 12 in 1 Gel Ink Pen School Supplies,65.0,1.0000000000000002,149.0
"
✖◇ WISDOM 20cm ruler set School supplies",107.0,WISDOM 20cm ruler set School supplies,15.0,1.0000000000000002,92.0
