Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
"Hot Global Versio VIVO X60 pro plus Cellphone sale original 6.1 inch Big Screen 6GB RAM 128GB ROM SmartPhone 5G Android Cheap Legit Mobile Phones On Sale CP Warranty tablet android realme8 pro redmi note9 note10 poco m3 galaxy a12 note30 realme c15 A5s
",1749.0,Original Cellphone VIVO X60  Pro Plus 5G 6GB+128GB 6.1Inch Phone Android Smartphone Sale Dual Sim COD,2199.0,0.5197191965064277,-450.0
"Realme Cellphone Sale Original Big Sale 2021 Cheap Sale Note30mini 4800mAh 128GB Dual Sim cards android mobile phone on sale 5g WIFI Google online Learning study 5g cheap cellphone P40
",1698.0,HUAWEI P48Pro phone 6G + 128G 5G Smartphone cellphone sale original big sale 2021 mobile phone COD,1899.0,0.5809475019311126,-201.0
"GOMO SIM with 30GB No Expiry + FREE Delivery
",299.0,GOMO SIM with 30GB No Expiry + FREE Delivery,299.0,0.9999999999999999,0.0
RELX INFINITY PRO PODS,439.0,relx infinity pro pods,220.0,1.0,219.0
"Data sync Charger Cable Micro Usb Cable Charging Android
",9.0,Data sync Charger Cable micro usb cable Charging android,8.0,1.0000000000000002,1.0
[E-COMMERCE EXCLUSIVE] [New] OPPO A54 6+128GB 5000mAh Battery 18W Fast Charge Octa-Core Processor,8990.0,[E-COMMERCE EXCLUSIVE] [New] OPPO A54 6+128GB 5000mAh Battery 18W Fast Charge Octa-Core Processor,8990.0,0.9999999999999999,0.0
HUAWEI Mate40 Pro HD Screen Smartphone Sale 6GB-128GB Face ID Dual SIM Mobile Phone cellphone phone Mobile Legends Cool Names,3035.13,HUAWEI Mate40 Pro HD Screen Smartphone Sale 6GB+128GB  Face ID Dual SIM Mobile Phone cellphone phone,1999.0,0.9176629354822469,1036.13
BAVIN CB071 2.4A Fast Charging Cable Data Transfer Soft and Flexible USB Cable Compatible for Apple iPhone 5/5S 6/6s 6+/6s+ 7/8 7+/8+ X iPhone 12,76.0,BAVIN Fast Charging 1meter Data Cable QC3.0 CB071 for Micro / iPhone / Type-C / V3 Mini USB / 30 Pin,40.0,0.5041841733655161,36.0
XIAOMI REALME Note30 Mini Cellphone Sale Original Big Sale 2021 Android Phone Note30 Plus 6.1inch 5G Mobile Phone on Sale 6+128GB Original Dito SIM Card Smart Phone Cheap Legal Phone,1790.0,Realme mobile phones 2021 Note30 mini 0PP0 phone on sale special price cheap phone 5g WIFI cellphone,1839.0,0.6680990011245665,-49.0
DITO SIM CARD 5G WITH 1GB DATA FREE 7DAYS,45.0,DITO SIM with 25GB DATA,199.0,0.5962847939999438,-154.0
