Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
"Best store Paw patrol tower set toys
",798.0,Best store Paw patrol tower set toys,450.0,0.9999999999999997,348.0
"Best store Kitchen Sink Pretend Play Kiddie Toys
",220.0,Best store Kitchen Sink Pretend Play Kiddie Toys,105.0,0.9999999999999999,115.0
"hot Best store 36pcs plastic kitchen cooking toy cooking toy set baby
",535.0,Best store 36pcs plastic kitchen cooking toy cooking toy set baby,270.0,0.968245836551854,265.0
202 Kids Boys Avengers Glove Launcher Toy Spiderman Ironman Hulk Captain Batman Toys For Boys,478.0,Kids Spiderman Ironman Batman Launcher Gloves Children Action Figure Toys Boys,108.0,0.5850179393017045,370.0
6-layer Rainbow Tower Educational toy for baby&kids,624.0,6-layer Rainbow Tower Educational toy for baby&kids,115.0,0.9999999999999999,509.0
Ulifeshop Antistress Toys Bubble Popping Game Push Fidget Sensory Toy Funny Adult Kids ReliverStress,79.0,Ulifeshop Antistress Toys Bubble Popping Game Push Fidget Sensory Toy Funny Adult Kids ReliverStress,17.0,0.9999999999999999,62.0
2pcs. Cockroaches - Ipis Prank Toy,89.1,2 pcs. Cockroaches - Ipis Prank Toy,6.0,0.7999999999999999,83.1
car boy dump truck four-wheel drive off-road off-road vehicle toy inertial anti-fall baby climbing,189.0,car boy dump truck four-wheel drive off-road off-road vehicle toy inertial anti-fall baby climbing,49.0,0.9999999999999998,140.0
"
℗ BCW Popit Pop It siopao fidge toy Push Bubble Fidget Sensory Toy Stress Reliever Help Relieve Stress",186.0,BCW Popit Pop It siopao fidge toy Push Bubble Fidget Sensory Toy Stress Reliever Help Relieve Stress,20.0,1.0000000000000002,166.0
City Diecast Ambulance Emergency Toy Car Model Open Door Ambulancia Oyuncak Educational Kids Toys,253.0,City Diecast Ambulance Emergency Toy Car Model Open Door Ambulancia Oyuncak Educational Kids Toys,99.0,0.9999999999999999,154.0
Fun Dentist Bite Finger Game Prank Toy Antistress 2019 New Crocodile Jokes Mouth Joke Funny Crocodile Toy Kids Child Family Gift,516.0,Crocodile Mouth Dentist Bite Finger Game Joke Funny Trick Toy Antistress Gift Kids Child Family,57.0,0.8262364471909154,459.0
Foxmind Pop Bubble Sensory Fidget Pop It Toy Mainan Kanak Kanak Autism Stress Relief Anti Anxie,133.0,Foxmind Pop Bubble Sensory Fidget Pop It Toy Mainan Kanak Kanak Autism Stress Relief Anti Anxie,35.0,1.0,98.0
54 Pcs Wooden Wiss Toy Building Blocks Jenga,204.0,54 Pcs Wooden Wiss Toy Building Blocks Jenga,85.0,0.9999999999999999,119.0
hot 【kidtoys】3D Glow in Dark Walking Rainbow Spring Toy Circle Slinky Magic Circle Stretchy,202.0,kidtoys】3D Glow in Dark Walking Rainbow Spring Toy Circle Slinky Magic Circle Stretchy,52.0,0.9701425001453322,150.0
Push Pop Pop Bubble Sensory Fidget Pop It Toy Autism Stress Relief Anti Anxiety Silent Classroo,149.0,Push Pop Pop Bubble Sensory Fidget Pop It Toy Autism Stress Relief Anti Anxiety Silent Classroo,38.0,0.9999999999999998,111.0
Plastic Feitian Fairy Shining Bamboo Dragonfly Light Included Frisbee Spinner Push UFO Creative Kindergarten CHILDREN'S Toy,173.0,Feitian Fairy Big Hand Push Frisbee Children Outdoor Toys Classic Nostalgic Bamboo Dragonfly Frisbee,9.0,0.5,164.0
Push Bubble Fidget Antistress Toys Kids Unicorn Dinosaur Pop Fidget Sensory Toy Autism Special Needs Stress Reliever,86.0,Pop Fidget Toy Push Bubble Stress Relief Kids Simple Dimple Reliever Helps Relieve Unicorn Dinosaur,41.0,0.6515837655350015,45.0
